"","Pool1","Pool2","Pool3","Pool4","Pool5","Pool6","Pool7","Pool8","Pool9","Pool10","Pool11","Pool12","Pool13","Pool14","Pool15","Pool16"
"ENSMUSG00000073730.2",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000102766.1",3,2,0,1,0,0,1,1,0,0,1,0,1,2,1,2
"ENSMUSG00000065405.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000097970.1",2,0,1,1,1,1,0,4,3,1,2,0,1,0,2,3
"ENSMUSG00000100775.1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000101226.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026158.11",1121,518,532,1094,695,731,434,1130,1589,471,668,1328,1895,1073,1120,1561
"ENSMUSG00000097920.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099503.1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026156.8",14,11,16,17,9,18,7,15,32,12,7,27,19,19,17,15
"ENSMUSG00000026155.13",311,271,242,413,186,142,167,200,333,200,207,273,257,298,280,352
"ENSMUSG00000026154.4",21,12,18,30,16,12,12,21,18,5,19,19,13,28,13,21
"ENSMUSG00000102495.1",0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"ENSMUSG00000026153.15",20,34,30,51,27,83,32,49,34,19,21,32,50,51,34,35
"ENSMUSG00000102398.1",0,3,0,2,0,0,0,0,0,0,0,0,1,2,0,1
"ENSMUSG00000097670.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000026147.16",0,2,0,0,0,1,0,1,0,0,0,1,6,0,5,3
"ENSMUSG00000026141.13",7,10,1,3,2,3,0,2,3,1,1,3,10,7,5,6
"ENSMUSG00000077463.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000099997.1",35,15,27,24,24,22,20,23,36,12,13,35,29,39,30,42
"ENSMUSG00000100131.1",16308,11940,8720,28177,10787,48503,9925,41901,21436,5390,5765,29160,32598,13055,10681,20721
"ENSMUSG00000067736.2",4838,3995,2906,6916,3116,5700,2781,6108,5024,2014,2208,5764,5552,3713,3619,5174
"ENSMUSG00000101939.1",2381,1889,1458,3436,1255,2598,1207,2951,2604,933,1012,3000,2920,1581,1660,2145
"ENSMUSG00000101111.1",35477,25704,20230,54613,23404,60298,20874,59528,39283,13307,15269,50536,52788,31567,26375,40710
"ENSMUSG00000100862.1",36286,26092,21140,55001,21039,50623,19683,54184,39054,13932,15880,49896,49010,28070,25907,39990
"ENSMUSG00000102070.1",34946,26572,20282,55137,23116,63691,21148,62994,40575,13298,14499,52331,53964,30717,25836,41898
"ENSMUSG00000101249.1",30254,23703,17455,51216,20650,86442,18606,70408,36877,11295,12921,49980,56754,26194,22435,36629
"ENSMUSG00000073725.8",480,645,501,656,337,755,372,559,554,383,367,590,634,726,624,577
