"Sample_id","M1","M3","M4","M14","M15","M16"
"NM_008093",0,0,0,0,0,0
"NM_008241",0,0,0,0,0,0
"NM_001128146",1,1,2,4,4,2
"NM_001128145",1,1,2,4,4,2
"NM_001128133",145,212,273,380,258,422
"NM_001128132",149,221,287,404,276,453
"NM_001128096",5622,5740,6854,5741,5431,5469
"NM_001164663",542,354,403,284,300,243
"NM_001025156",1407,1244,1529,1616,1370,1370
"NM_001042617",0,0,0,0,1,0
"NM_001038625",788,599,577,607,611,498
"NM_134109",3,2,0,2,1,4
"NM_133998",990,928,984,995,954,894
"NM_133702",1287,1104,1138,968,1000,867
"NM_001110794",2886,2177,2655,2897,3029,2611
"NM_001110784",3,3,6,8,8,18
"NM_001103153",0,0,0,0,0,0
"NM_001103152",0,0,0,0,0,0
"NM_001081181",265,240,213,251,210,201
"NM_011849",284,294,279,282,228,207
"NM_011848",95,76,78,78,90,86
"NM_001243937",0,0,0,0,0,0
"NM_009416",485,266,262,449,377,204
"NM_146511",0,0,0,0,0,0
"NM_146506",0,0,0,0,0,0
"NM_009908",2590,1702,2101,2072,1849,1873
"NM_013463",652,555,624,562,604,520
"NM_019459",1,0,0,0,0,0
"NM_027050",0,0,0,0,0,0
"NM_026256",2,3,1,0,0,0
"NM_026254",1534,1101,1278,1497,1360,1356
"NM_026253",98,71,97,87,76,97
"NM_001290702",0,0,0,0,0,0
"NM_001039676",4,5,4,6,10,9
"NM_001033359",0,0,0,0,0,0
"NM_009912",2017,1186,1467,2616,2042,2067
"NM_174885",0,0,0,0,0,0
"NM_016742",4553,4177,4400,3990,3683,3339
"NM_198161",378,291,375,270,226,207
"NM_198122",1518,1215,1449,1516,1414,1273
"NM_001267620",304,232,309,306,230,280
"NM_001267593",1,0,0,0,0,0
"NM_001267592",1028,822,1093,947,896,863
"NM_001267591",976,788,1054,886,845,808
"NM_001267583",7,0,1,0,0,0
"NM_198096",1951,1249,1386,1914,1887,1886
"NM_001101453",0,0,0,0,0,0
"NM_198094",490,600,565,536,471,492
"NM_197989",539,452,472,472,476,437
"NM_197985",4103,3735,4530,4201,3816,3734
"NM_197979",2273,1957,2164,2133,1919,1752
"NM_213733",1450,1241,1402,1224,1203,1132
"NM_213729",11,2,6,20,6,10
"NM_213730",0,0,0,0,0,0
"NM_213728",0,0,0,0,0,0
